JSON Path,Status,Involved Terms,Original,Translation
root.entries.Menace Under Otari.actors.Ezren.items.Mystic Armor.name,✅ 新译,armor->护甲,Mystic Armor,秘术师 护甲
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#20.text,⚠️ 修正,damage->伤害 | damage->伤害 | damage->伤害 | damage->伤害 | time->时代,"<p class=""box-text narrative first"">Using your blade, you begin to hack away at the icicle, but the first time you strike it, a wave of powerful, magical cold washes up your arm.</p><p>You take 1 damage. It looks like if you want to destroy the icicle, you’ll need to hit it at least three more times, taking another 3 damage.</p><p>If you decide to destroy the icicle with your sword, take 3 more damage and go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.B3hPHccbWsEhVvGj]{#02}.</p><p>If the damage reduces you to 0 Hit Points, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}.</p><p>If you decide to leave the icicle alone and jump down the chute, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.qcI1yZVH5QBDbpaj]{#23}.</p><p>If you instead decide to head back the way you came and try the other passage, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Op9v0801zCNxtVMJ]{#05}.</p>","<p class=""box-text narrative first"">你挥动剑刃，开始劈砍冰柱，但当你第一次 次 击中它时，一股强大的魔法寒流涌上你的手臂。</p><p>你受到 1 点 伤害。看起来如果你想摧毁冰柱，你至少还需要再击中它三次，并再受到 3 点 伤害。</p><p>如果你决定用剑摧毁冰柱，再受到 3 点 伤害 并转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.B3hPHccbWsEhVvGj]{#02}。</p><p>如果 伤害 使你的生命值降至 0，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}。</p><p>如果你决定不管冰柱并跳下滑道，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.qcI1yZVH5QBDbpaj]{#23}。</p><p>如果你决定原路返回并尝试另一条通道，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Op9v0801zCNxtVMJ]{#05}。</p>"
root.entries.Menace Under Otari.actors.Ezren.items.Spell Substitution.name,✅ 新译,spell->法术,Spell Substitution,法术替换
root.entries.Menace Under Otari.actors.Ezren.items.Cast a Spell.name,✅ 新译,spell->法术,Cast a Spell,施放法术
root.entries.Pirate King's Plunder.name,⚠️ 修正,Pirate King's Plunder->海贼王的财宝,Pirate King's Plunder,海盗王的财宝
root.entries.Menace Under Otari.actors.Ezren.items.Drain Bonded Item.name,✅ 新译,item->物品,Drain Bonded Item,耗竭联结物品
root.entries.Menace Under Otari.actors.Kyra.items.Divine Font (Healing).name,✅ 新译,healing->治疗,Divine Font (Healing),神圣源泉 (治疗)
root.entries.Menace Under Otari.actors.Kyra.items.Deity (Sarenrae).name,✅ 新译,deity->神祇,Deity (Sarenrae),神祇 (莎伦莱)
root.entries.Menace Under Otari.actors.Kobold Trapmaster.items.Spike Trap.name,✅ 新译,Spike Trap->尖刺陷阱,Spike Trap,尖刺陷阱
root.entries.Menace Under Otari.playlists.Exploration Loops.sounds.Crypt Drone Loop.name,⚠️ 修正,Crypt Drone Loop->地穴杂音循环,Crypt Drone Loop,地穴嗡鸣循环
root.entries.Menace Under Otari.actors.Merisiel.tokenName,🆗 保留,Merisiel->梅瑞希尔,Merisiel,梅瑞希尔
root.entries.Menace Under Otari.actors.Kyra.items.Detect Magic.name,✅ 新译,magic->魔法,Detect Magic,侦测 魔法
root.entries.Menace Under Otari.actors.Ezren.name,⚠️ 修正,Ezren->艾兹伦,Ezren,艾兹伦
root.entries.Menace Under Otari.playlists.Floor 2 Mermaid Fountain.sounds.The Mermaid Fountain Basin Loop.name,⚠️ 修正,The Mermaid Fountain Basin Loop->美人鱼喷泉区域循环,The Mermaid Fountain Basin Loop,美人鱼喷泉盆地环路
root.entries.Menace Under Otari.actors.Kyra.items.Healer's Toolkit.name,✅ 新译,toolkit->工具包,Healer's Toolkit,治疗师工具包
root.entries.Menace Under Otari.actors.Merisiel.items.Sneak Attack.name,✅ 新译,attack->攻击,Sneak Attack,潜行 攻击
root.entries.Menace Under Otari.actors.Merisiel.items.Surprise Attack.name,✅ 新译,attack->攻击,Surprise Attack,突袭 攻击
root.entries.Menace Under Otari.actors.Kyra.items.Runic Weapon.name,✅ 新译,weapon->武器,Runic Weapon,符文 武器
root.entries.Menace Under Otari.actors.Merisiel.items.Leather Armor.name,✅ 新译,armor->护甲,Leather Armor,皮甲 护甲
root.entries.Menace Under Otari.actors.Valeros.tokenName,🆗 保留,Valeros->瓦莱洛斯,Valeros,瓦莱洛斯
root.entries.Menace Under Otari.actors.Valeros.name,⚠️ 修正,Valeros->瓦莱洛斯,Valeros,瓦莱洛斯
root.entries.Menace Under Otari.actors.Merisiel.items.Healer's Toolkit.name,✅ 新译,toolkit->工具包,Healer's Toolkit,治疗师工具包
root.entries.Menace Under Otari.actors.Merisiel.items.Thieves' Toolkit (Replacement Picks).name,✅ 新译,toolkit->工具包,Thieves' Toolkit (Replacement Picks),盗贼工具包（备用撬锁工具）
root.entries.Menace Under Otari.actors.Merisiel.items.Thieves' Toolkit.name,✅ 新译,toolkit->工具包,Thieves' Toolkit,盗贼工具包
root.entries.Menace Under Otari.actors.Valeros.items.Repair Toolkit.name,✅ 新译,toolkit->工具包,Repair Toolkit,修理 工具包
root.entries.Menace Under Otari.actors.Abandoned Storeroom.tokenName,🆗 保留,Abandoned Storeroom->废弃储藏室,Abandoned Storeroom,废弃储藏室
root.entries.Menace Under Otari.actors.Merisiel.name,⚠️ 修正,Merisiel->梅瑞希尔,Merisiel,梅瑞希尔
root.entries.Menace Under Otari.actors.Abadar's Vault.tokenName,🆗 保留,Abadar's Vault->阿巴达尔的宝库,Abadar's Vault,阿巴达尔的宝库
root.entries.Menace Under Otari.actors.Dragon's Lair.tokenName,🆗 保留,Dragon's Lair->巨龙巢穴,Dragon's Lair,巨龙巢穴
root.entries.Menace Under Otari.actors.Forgotten Crypt.tokenName,🆗 保留,Forgotten Crypt->被遗忘的墓穴,Forgotten Crypt,被遗忘的墓穴
root.entries.Menace Under Otari.actors.Abadar's Vault.name,⚠️ 修正,Abadar's Vault->阿巴达尔的宝库,Abadar's Vault,阿巴达尔的宝库
root.entries.Menace Under Otari.actors.Kobold Loot.tokenName,🆗 保留,Kobold Loot->狗头人宝藏,Kobold Loot,狗头人宝藏
root.entries.Menace Under Otari.actors.Forgotten Crypt.name,⚠️ 修正,Forgotten Crypt->被遗忘的墓穴,Forgotten Crypt,被遗忘的墓穴
root.entries.Menace Under Otari.actors.Zolgran's Treasure.tokenName,🆗 保留,Zolgran's Treasure->佐尔甘的宝藏,Zolgran's Treasure,佐尔甘的宝藏
root.entries.Menace Under Otari.actors.Spider's Lair.tokenName,🆗 保留,Spider's Lair->蜘蛛巢穴,Spider's Lair,蜘蛛巢穴
root.entries.Menace Under Otari.actors.Kobold Loot.items.Healing Potion (Minor).name,✅ 新译,Healing Potion->治疗药水,Healing Potion (Minor),治疗药水 (次级)
root.entries.Menace Under Otari.actors.Small Bag.tokenName,🆗 保留,Small Bag->小袋子,Small Bag,小袋子
root.entries.Menace Under Otari.actors.Falling Ceiling.tokenName,⚠️ 修正,Falling Ceiling->落石陷阱,Falling Ceiling,塌陷天花板
root.entries.Menace Under Otari.actors.Spider's Lair.items.Healing Potion (Minor).name,✅ 新译,Healing Potion->治疗药水,Healing Potion (Minor),治疗药水 (次级)
root.entries.Menace Under Otari.actors.Zolgran's Treasure.items.Healing Potion (Minor).name,✅ 新译,Healing Potion->治疗药水,Healing Potion (Minor),治疗药水 (次级)
root.entries.Menace Under Otari.actors.Cinder Rat.tokenName,🆗 保留,Cinder Rat->煤渣鼠,Cinder Rat,煤渣鼠
root.entries.Menace Under Otari.actors.Giant Rat.tokenName,🆗 保留,Giant Rat->巨鼠,Giant Rat,巨鼠
root.entries.Menace Under Otari.actors.Zolgran's Treasure.name,⚠️ 修正,Zolgran's Treasure->佐尔甘的宝藏,Zolgran's Treasure,佐尔甘的宝藏
root.entries.Pirate King's Plunder.journals.Introduction.pages.Pirate King's Plunder.text,⚠️ 修正,Pirate King's Plunder->海贼王的财宝 | Combat Reference->战斗参考 | Adventure Steps->冒险步骤 | Scratch Paper->草稿纸 | adventure->冒险 | adventure->冒险 | actions->动作,"<p>In Pirate King's Plunder, you won't advance through the story by reading the journals in chronological order. Instead, at the end of each entry, you'll be presented with a set of choices. The decisions you make will lead you to different entries, which you can follow simply by clicking on the inline link.</p>
<h3>Player Resources</h3>
<p>The @UUID[JournalEntry.84g4A22otQbtAqYu]{Adventure Steps} journal contains every step of the adventure, and you'll navigate through it by making choices by clicking on the options at the end of each entry.</p>
<p>You can use the @UUID[JournalEntry.MNx5B6xIGsHwGzqe.JournalEntryPage.IrDInT1GRf8tKGyg]{Scratch Paper} page to help you keep track of actions you perform and items you pick up along the way.</p>
<p>Some of the adventure steps may require you to deal with a threat before you can progress. Generally, the description will tell you how to resolve the situation. If you find yourself in combat, the @UUID[JournalEntry.MNx5B6xIGsHwGzqe.JournalEntryPage.KcImx6Pq6vjKeJm5]{Combat Reference} page has a summary of the relevant rules.</p>
<p>When you're ready, advance to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.dHOsZe4eRCxxK9Gb]{#01} !</p>
<figure><br /><img src=""modules/pf2e-beginner-box/assets/artwork-other/pirate-king-plunder-cover.webp"" width=""400"" /><img /></figure>","<p>在海贼王的财宝中，你不需要按照时间顺序阅读日志来推进故事。相反，在每个条目的结尾，你将面对一组选择。你所做的决定将引导你前往不同的条目，你只需点击文中链接即可跟随。</p>
<h3>玩家资源</h3>
<p> @UUID[JournalEntry.84g4A22otQbtAqYu]{冒险步骤}日志包含了冒险的每一步，你可以通过在每个条目的末尾点击选项来进行选择并跳转。</p>
<p>你可以使用 @UUID[JournalEntry.MNx5B6xIGsHwGzqe.JournalEntryPage.IrDInT1GRf8tKGyg]{草稿纸}页面来帮助你记录你执行的动作以及沿途拾取的物品。</p>
<p>某些冒险步骤可能需要你先处理掉威胁才能继续前进。通常情况下，描述会告诉你如何解决该情况。如果你发现自己进入了战斗，@UUID[JournalEntry.MNx5B6xIGsHwGzqe.JournalEntryPage.KcImx6Pq6vjKeJm5]{战斗参考}页面提供了相关规则的摘要。</p>
<p>当你准备好时，请前往条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.dHOsZe4eRCxxK9Gb]{#01}！</p>
<figure><br /><img src=""modules/pf2e-beginner-box/assets/artwork-other/pirate-king-plunder-cover.webp"" width=""400"" /><img /></figure>"
root.entries.Menace Under Otari.actors.Giant Spider.tokenName,🆗 保留,Giant Spider->巨蜘蛛,Giant Spider,巨蜘蛛
root.entries.Menace Under Otari.actors.Forgotten Crypt.items.Polished Shield.name,✅ 新译,Polished Shield->抛光盾牌,Polished Shield,抛光盾牌
root.entries.Menace Under Otari.actors.Valeros.items.Sudden Charge.name,✅ 新译,Sudden Charge->迅速冲锋,Sudden Charge,迅速冲锋
root.entries.Menace Under Otari.actors.Kobold Scout.tokenName,🆗 保留,Kobold Scout->狗头人斥候,Kobold Scout,狗头人斥候
root.entries.Menace Under Otari.actors.Cinder Rat.name,⚠️ 修正,Cinder Rat->煤渣鼠,Cinder Rat,煤渣鼠
root.entries.Menace Under Otari.actors.Giant Spider.items.Giant Spider Venom.name,✅ 新译,Giant Spider->巨蜘蛛,Giant Spider Venom,巨蜘蛛毒液
root.entries.Menace Under Otari.actors.Dragon's Lair.name,⚠️ 修正,Dragon's Lair->巨龙巢穴,Dragon's Lair,巨龙巢穴
root.entries.Menace Under Otari.actors.Kobold Loot.name,⚠️ 修正,Kobold Loot->狗头人宝藏,Kobold Loot,狗头人宝藏
root.entries.Menace Under Otari.actors.Kobold Warrior.tokenName,🆗 保留,Kobold Warrior->狗头人战士,Kobold Warrior,狗头人战士
root.entries.Menace Under Otari.actors.Kobold Scout.items.Leather Armor.name,✅ 新译,armor->护甲,Leather Armor,皮甲 护甲
root.entries.Menace Under Otari.actors.Abandoned Storeroom.name,⚠️ 修正,Abandoned Storeroom->废弃储藏室,Abandoned Storeroom,废弃储藏室
root.entries.Menace Under Otari.actors.Kobold Warrior.items.Leather Armor.name,✅ 新译,armor->护甲,Leather Armor,皮甲 护甲
root.entries.Menace Under Otari.actors.Skeleton Guard.tokenName,🆗 保留,Skeleton Guard->骷髅守卫,Skeleton Guard,骷髅守卫
root.entries.Menace Under Otari.actors.Kyra.name,⚠️ 修正,Kyra->凯拉,Kyra,凯拉
root.entries.Menace Under Otari.actors.Giant Rat.name,⚠️ 修正,Giant Rat->巨鼠,Giant Rat,巨鼠
root.entries.Menace Under Otari.actors.Spider's Lair.name,⚠️ 修正,Spider's Lair->蜘蛛巢穴,Spider's Lair,蜘蛛巢穴
root.entries.Menace Under Otari.actors.Xulgath Warrior.tokenName,🆗 保留,Xulgath Warrior->地蜥人战士,Xulgath Warrior,地蜥人战士
root.entries.Menace Under Otari.actors.Kobold Warrior.items.Sneak Attack.name,✅ 新译,attack->攻击,Sneak Attack,潜行 攻击
root.entries.Menace Under Otari.actors.Kobold Scout.items.Sneak Attack.name,✅ 新译,attack->攻击,Sneak Attack,潜行 攻击
root.entries.Menace Under Otari.actors.Zombie Shambler.tokenName,🆗 保留,Zombie Shambler->蹒跚丧尸,Zombie Shambler,蹒跚丧尸
root.entries.Menace Under Otari.actors.Kobold Scout.name,⚠️ 修正,Kobold Scout->狗头人斥候,Kobold Scout,狗头人斥候
root.entries.Menace Under Otari.actors.Small Bag.name,⚠️ 修正,Small Bag->小袋子,Small Bag,小袋子
root.entries.Menace Under Otari.actors.Xulgath Warrior.name,⚠️ 修正,Xulgath Warrior->地蜥人战士,Xulgath Warrior,地蜥人战士
root.entries.Menace Under Otari.actors.Zolgran's Treasure.items.Smoking Sword.name,✅ 新译,Smoking Sword->冒烟的剑,Smoking Sword,冒烟剑
root.entries.Menace Under Otari.scenes.Floor 1.notes.01: Hungry Rats,⚠️ 修正,01: Hungry Rats->01: 饥饿的巨鼠,01: Hungry Rats,01: 饥饿的老鼠
root.entries.Menace Under Otari.folders.Beginner's Guide,⚠️ 修正,Beginner's Guide->新手指南,Beginner's Guide,新手指南
root.entries.Menace Under Otari.items.Polished Shield.name,⚠️ 修正,Polished Shield->抛光盾牌,Polished Shield,抛光盾牌
root.entries.Menace Under Otari.folders.Menace Under Otari,⚠️ 修正,Menace Under Otari->奥塔里地下的威胁,Menace Under Otari,奥塔里地下的威胁
root.entries.Menace Under Otari.actors.Kobold Warrior.name,⚠️ 修正,Kobold Warrior->狗头人战士,Kobold Warrior,狗头人战士
root.entries.Menace Under Otari.actors.Ezren.items.Spellbook.name,✅ 新译,spellbook->法术书,Spellbook,法术书
root.entries.Menace Under Otari.actors.Zombie Shambler.name,⚠️ 修正,Zombie Shambler->蹒跚丧尸,Zombie Shambler,蹒跚丧尸
root.entries.Menace Under Otari.actors.Skeleton Guard.name,⚠️ 修正,Skeleton Guard->骷髅守卫,Skeleton Guard,骷髅卫兵
root.entries.Menace Under Otari.items.Fighter Equipment.name,⚠️ 修正,Fighter Equipment->战士装备,Fighter Equipment,战士装备
root.entries.Menace Under Otari.journals.Gamemastering.pages.Informational Boxes.name,⚠️ 修正,Informational Boxes->信息栏,Informational Boxes,信息栏
root.entries.Menace Under Otari.actors.Giant Spider.name,⚠️ 修正,Giant Spider->巨蜘蛛,Giant Spider,巨蜘蛛
root.entries.Menace Under Otari.items.Cleric Equipment.name,⚠️ 修正,Cleric Equipment->牧师装备,Cleric Equipment,牧师装备
